#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
400.0%,2141.986328125,338.23675705606047,0.30085906306723326,389
410.0%,2233.982421875,331.7049574906545,0.30085906306723326,389
420.0%,2203.39453125,329.769661189222,0.30085906306723326,390
430.0%,2204.248046875,321.5148696342629,0.30085906306723326,390
440.0%,2209.564453125,318.3702126031247,0.30085906306723326,390
450.0%,2150.0380859375,320.2407359759032,0.30085906306723326,390
460.0%,2122.7451171875,314.73090672886104,0.30085906306723326,390
470.0%,2234.9296875,290.86710960044303,0.30085906306723326,391
480.0%,2206.8486328125,276.82129317641636,0.30085906306723326,391
490.0%,2188.1923828125,290.4344356055408,0.30085906306723326,391
500.0%,2152.18359375,316.4379239136575,0.30085906306723326,391
510.0%,2182.36328125,322.05132627808774,0.30085906306723326,391
520.0%,2185.6064453125,309.4855589459686,0.30085906306723326,392
530.0%,2158.169921875,325.8602567033213,0.30085906306723326,392
540.0%,2188.59375,315.6723036160962,0.30085906306723326,392
550.0%,2192.2314453125,327.21449313206807,0.30085906306723326,392
560.0%,2185.3388671875,308.0133402479445,0.30085906306723326,392
570.0%,2223.537109375,278.36710734499366,0.30085906306723326,392
580.0%,2146.6865234375,298.17161967599725,0.30085906306723326,393
590.0%,2193.2939453125,286.34413707446294,0.30085906306723326,393
600.0%,2193.130859375,280.9318413573744,0.30085906306723326,393
610.0%,2201.1884765625,308.53399134292823,0.30085906306723326,393
620.0%,2239.09765625,315.6183912375809,0.30085906306723326,393
630.0%,2113.4794921875,340.2802428420938,0.30085906306723326,393
640.0%,2266.119140625,307.199206966461,0.30085906306723326,394
650.0%,2215.4306640625,298.5899859713171,0.30085906306723326,394
660.0%,2186.0810546875,308.8918022419825,0.30085906306723326,393
670.0%,2135.3291015625,304.7598275307631,0.30085906306723326,393
680.0%,2147.07421875,296.174858329446,0.30085906306723326,394
690.0%,2200.755859375,298.0243731070299,0.30085906306723326,394
700.0%,2137.154296875,319.7721471656834,0.30085906306723326,394
710.0%,2232.6005859375,297.79350363128987,0.30085906306723326,394
720.0%,2265.4072265625,291.9513059828734,0.30085906306723326,394
730.0%,2164.326171875,302.40967472155455,0.30085906306723326,394
740.0%,2191.12890625,294.3684582909582,0.30085906306723326,394
750.0%,2213.666015625,302.27691400620876,0.30085906306723326,394
760.0%,2184.6083984375,312.01909378459845,0.30085906306723326,395
770.0%,2165.322265625,312.4687147318053,0.30085906306723326,395
780.0%,2175.0185546875,341.07306499855616,0.30085906306723326,395
790.0%,2220.1728515625,316.01540795747826,0.30085906306723326,395
800.0%,2180.6640625,308.80934711276836,0.30085906306723326,395
810.0%,2150.2841796875,291.58401200863386,0.30085906306723326,394
820.0%,2166.064453125,292.8143015020263,0.30085906306723326,393
830.0%,2225.7490234375,289.83531991954703,0.30085906306723326,393
840.0%,2172.7177734375,297.6119580434497,0.30085906306723326,393
850.0%,2204.7890625,287.72751042905014,0.30085906306723326,393
860.0%,2114.3291015625,295.278084243379,0.30085906306723326,393
870.0%,2208.228515625,284.0956494509933,0.30085906306723326,393
880.0%,2161.515625,324.08718609086264,0.30085906306723326,394
890.0%,2193.0908203125,320.32753973346377,0.30085906306723326,394
900.0%,2182.373046875,307.48847032896066,0.30085906306723326,394
910.0%,2161.2568359375,314.0239500540081,0.30085906306723326,394
920.0%,2169.5615234375,297.38308821673377,0.30085906306723326,394
930.0%,2179.9677734375,316.93614234515917,0.30085906306723326,394
940.0%,2307.5966796875,268.86030780210297,0.30085906306723326,394
950.0%,2225.646484375,293.0462917987485,0.30085906306723326,394
960.0%,2201.6552734375,303.4954223965848,0.30085906306723326,394
970.0%,2157.546875,303.5243089906716,0.30085906306723326,395
980.0%,2141.0771484375,317.56520022245934,0.30085906306723326,395
990.0%,2151.771484375,297.19581770913317,0.30085906306723326,395
1000.0%,2213.7802734375,291.5272151505485,0.30085906306723326,395
1010.0%,2132.5615234375,324.72425458878075,0.30085906306723326,395
1020.0%,2142.89453125,322.08900177400653,0.30085906306723326,395
1030.0%,2175.849609375,314.0122198724629,0.30085906306723326,395
1040.0%,2228.1015625,325.73590692246694,0.30085906306723326,395
1050.0%,2238.19921875,322.8715482274986,0.30085906306723326,395
1060.0%,2218.8828125,334.51404129563656,0.30085906306723326,395
1070.0%,2214.7275390625,309.7910664607895,0.30085906306723326,395
1080.0%,2202.7294921875,303.94090293960767,0.30085906306723326,395
1090.0%,2148.7314453125,322.4770928703609,0.30085906306723326,395
1100.0%,2215.36328125,312.4921375428436,0.30085906306723326,395
1110.0%,2244.875,325.1261399792097,0.30085906306723326,395
1120.0%,2194.47265625,352.4042266339432,0.30085906306723326,395
1130.0%,2199.92578125,329.5882954318519,0.30085906306723326,396
1140.0%,2176.2314453125,319.41608918104924,0.30085906306723326,396
1150.0%,2207.2978515625,318.43135318728605,0.30085906306723326,396
1160.0%,2182.404296875,323.70687810234585,0.30085906306723326,396
1170.0%,2145.4443359375,328.2006660989779,0.30085906306723326,396
1180.0%,2221.0791015625,295.8767348275898,0.30085906306723326,396
