#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
1210.0%,2115.0703125,293.86457289659927,0.30085906306723326,389
1220.0%,2079.5185546875,314.6355970949888,0.30085906306723326,389
1230.0%,2042.3056640625,298.02595730458876,0.30085906306723326,389
1240.0%,2040.6923828125,293.6437020585894,0.30085906306723326,389
1250.0%,1996.5185546875,299.2686567085109,0.30085906306723326,389
1260.0%,1974.96484375,320.12597734939914,0.30085906306723326,389
1270.0%,1988.328125,279.1953000226103,0.30085906306723326,389
1280.0%,1983.5693359375,295.9396167287825,0.30085906306723326,389
1290.0%,2017.296875,273.50318478526026,0.30085906306723326,389
1300.0%,2052.05078125,279.72906343446334,0.30085906306723326,389
1310.0%,2083.734375,284.3863272903769,0.30085906306723326,390
1320.0%,1983.7421875,311.80156399560207,0.30085906306723326,390
1330.0%,2052.2353515625,305.4436071133827,0.30085906306723326,390
1340.0%,2092.5556640625,304.9064807167553,0.30085906306723326,390
1350.0%,2036.3544921875,320.82571929226464,0.30085906306723326,390
1360.0%,2025.8466796875,319.6747943832166,0.30085906306723326,390
1370.0%,2032.287109375,303.43495053801854,0.30085906306723326,390
1380.0%,1982.1474609375,302.25472889736045,0.30085906306723326,390
1390.0%,2012.0078125,300.53530240356883,0.30085906306723326,390
1400.0%,2011.669921875,294.391869477049,0.30085906306723326,390
1410.0%,1970.048828125,301.0205489234269,0.30085906306723326,390
1420.0%,1965.4365234375,298.27476383054625,0.30085906306723326,390
1430.0%,2056.046875,278.36026058017694,0.30085906306723326,390
1440.0%,2022.2900390625,307.9673615742767,0.30085906306723326,390
1450.0%,1987.2470703125,317.7201344294763,0.30085906306723326,390
1460.0%,1966.5517578125,329.9531428348441,0.30085906306723326,390
1470.0%,2045.4736328125,287.91921344867416,0.30085906306723326,390
1480.0%,2024.4453125,315.3532362369312,0.30085906306723326,390
1490.0%,2042.955078125,320.88065887247853,0.30085906306723326,390
1500.0%,2145.423828125,299.36574843595264,0.30085906306723326,390
1510.0%,2065.6416015625,320.63486314321875,0.30085906306723326,390
1520.0%,2086.986328125,313.37029583265326,0.30085906306723326,390
1530.0%,2049.634765625,316.4806325058404,0.30085906306723326,390
1540.0%,2074.37109375,310.8049678465638,0.30085906306723326,390
1550.0%,1969.1650390625,323.49008710689014,0.30085906306723326,390
1560.0%,1973.1162109375,296.49921232190604,0.30085906306723326,390
1570.0%,2007.7060546875,280.1437722068248,0.30085906306723326,390
1580.0%,1964.4853515625,305.95911356722775,0.30085906306723326,390
1590.0%,2031.396484375,305.43384118338975,0.30085906306723326,390
1600.0%,1985.662109375,338.2034660630775,0.30085906306723326,390
1610.0%,1977.91796875,322.0769394572502,0.30085906306723326,390
1620.0%,1993.228515625,298.27055484785024,0.30085906306723326,390
1630.0%,2019.955078125,287.14926569674185,0.30085906306723326,391
1640.0%,2038.111328125,300.0220290615339,0.30085906306723326,390
1650.0%,2026.833984375,317.79894907840384,0.30085906306723326,391
1660.0%,2032.251953125,325.3532052171794,0.30085906306723326,390
1670.0%,2040.4912109375,317.7093445567296,0.30085906306723326,390
1680.0%,2070.041015625,319.44429677181165,0.30085906306723326,390
1690.0%,2012.884765625,346.9180135072552,0.30085906306723326,391
1700.0%,2014.3330078125,319.9081498903476,0.30085906306723326,391
1710.0%,2016.0478515625,300.1693427432545,0.30085906306723326,391
1720.0%,2021.9951171875,318.8543087177845,0.30085906306723326,391
1730.0%,2021.6728515625,299.43729366063087,0.30085906306723326,391
1740.0%,2025.560546875,290.6824023585516,0.30085906306723326,391
1750.0%,1985.892578125,304.9609673618956,0.30085906306723326,391
1760.0%,1988.5986328125,319.74719581583247,0.30085906306723326,391
1770.0%,2090.9453125,257.9315715789962,0.30085906306723326,391
1780.0%,2028.056640625,292.57620956426416,0.30085906306723326,391
1790.0%,2107.1748046875,285.4677696350499,0.30085906306723326,391
1800.0%,2060.1826171875,312.3818079595413,0.30085906306723326,391
1810.0%,1959.46875,348.3454393166567,0.30085906306723326,391
1820.0%,2042.29296875,300.6776368222324,0.30085906306723326,391
1830.0%,2039.033203125,266.86696410152695,0.30085906306723326,391
1840.0%,2037.97265625,281.929421234103,0.30085906306723326,391
1850.0%,2003.2705078125,300.51367483584147,0.30085906306723326,391
1860.0%,2088.5556640625,268.2875177737631,0.30085906306723326,391
1870.0%,2007.728515625,295.2644562147751,0.30085906306723326,391
1880.0%,2003.0234375,309.80160001436735,0.30085906306723326,391
1890.0%,2043.7529296875,271.09077610121955,0.30085906306723326,391
1900.0%,2011.9296875,306.4639320587177,0.30085906306723326,391
1910.0%,2000.2958984375,311.6919672303933,0.30085906306723326,391
1920.0%,2001.546875,307.80569766408274,0.30085906306723326,391
1930.0%,2003.681640625,327.0940331600447,0.30085906306723326,391
1940.0%,2090.1171875,270.8503614474398,0.30085906306723326,391
1950.0%,2010.5283203125,293.4453425976798,0.30085906306723326,391
1960.0%,2006.974609375,303.1339599209022,0.30085906306723326,391
1970.0%,2055.1298828125,295.22770169018565,0.30085906306723326,391
1980.0%,2002.654296875,294.2704498425066,0.30085906306723326,391
1990.0%,2001.0361328125,308.35887527845927,0.30085906306723326,391
2000.0%,1995.8583984375,321.9674218934753,0.30085906306723326,391
2010.0%,2046.654296875,316.6218041916148,0.30085906306723326,391
2020.0%,2097.9990234375,279.74296503436125,0.30085906306723326,391
2030.0%,2063.6748046875,318.05006250473275,0.30085906306723326,391
2040.0%,2066.099609375,334.8815345063624,0.30085906306723326,391
2050.0%,2080.2626953125,327.32668357342305,0.30085906306723326,391
2060.0%,2062.2490234375,324.749680577069,0.30085906306723326,391
2070.0%,2051.1865234375,318.5581449829233,0.30085906306723326,391
2080.0%,2092.8173828125,306.00003605009164,0.30085906306723326,391
2090.0%,2009.5185546875,338.14500363568186,0.30085906306723326,391
2100.0%,2038.7275390625,340.4114553688554,0.30085906306723326,391
2110.0%,1994.0537109375,336.8136467468671,0.30085906306723326,391
2120.0%,2085.2802734375,270.33394860057365,0.30085906306723326,391
2130.0%,2092.107421875,281.9786647748797,0.30085906306723326,391
2140.0%,2021.1708984375,315.86724907422047,0.30085906306723326,391
2150.0%,1951.66796875,337.1945097430146,0.30085906306723326,391
2160.0%,2044.744140625,286.80317299642775,0.30085906306723326,391
2170.0%,1983.2099609375,292.54299502630477,0.30085906306723326,391
2180.0%,1994.3974609375,285.5922616139659,0.30085906306723326,391
2190.0%,2077.134765625,281.0507623636058,0.30085906306723326,391
2200.0%,1985.91015625,312.4405679058348,0.30085906306723326,391
2210.0%,1999.1015625,278.7773668415021,0.30085906306723326,391
2220.0%,1932.4638671875,309.6996521435611,0.30085906306723326,391
2230.0%,2028.4013671875,279.9994058971886,0.30085906306723326,391
2240.0%,2011.857421875,284.50346182484435,0.30085906306723326,391
2250.0%,1992.5,277.4499608321681,0.30085906306723326,391
2260.0%,1945.3447265625,288.2982576254447,0.30085906306723326,391
2270.0%,1936.9501953125,312.98687726403296,0.30085906306723326,391
2280.0%,2004.365234375,291.3588386994829,0.30085906306723326,391
2290.0%,1970.4287109375,299.12547583621387,0.30085906306723326,391
2300.0%,2014.552734375,292.86029131057825,0.30085906306723326,391
2310.0%,1957.904296875,309.3931803214999,0.30085906306723326,391
2320.0%,2001.1416015625,320.17524933992917,0.30085906306723326,391
2330.0%,1977.07421875,344.9605540046645,0.30085906306723326,391
2340.0%,2033.572265625,319.79101065677577,0.30085906306723326,391
2350.0%,2034.775390625,328.18987062642924,0.30085906306723326,391
2360.0%,2035.6650390625,316.8598872493698,0.30085906306723326,391
2370.0%,1968.75390625,325.61973767799844,0.30085906306723326,391
2380.0%,1988.388671875,322.7148942447414,0.30085906306723326,392
2390.0%,2020.4912109375,289.6616859681225,0.30085906306723326,392
2400.0%,1987.45703125,272.6180022000801,0.30085906306723326,392
2410.0%,1950.150390625,288.1695375126718,0.30085906306723326,392
2420.0%,1976.716796875,265.19550948564824,0.30085906306723326,392
2430.0%,1935.1982421875,298.4053323974802,0.30085906306723326,392
2440.0%,1984.8154296875,324.4302161102136,0.30085906306723326,392
2450.0%,2042.2822265625,301.04608592791413,0.30085906306723326,392
2460.0%,2022.7890625,307.39476991604187,0.30085906306723326,392
2470.0%,2002.59375,303.41428483122604,0.30085906306723326,392
2480.0%,1973.107421875,307.8438043479845,0.30085906306723326,392
2490.0%,1971.51953125,302.87014477437975,0.30085906306723326,392
2500.0%,2026.064453125,300.83342017662306,0.30085906306723326,392
2510.0%,2015.66015625,319.69209412305,0.30085906306723326,392
2520.0%,2049.126953125,314.86556516216916,0.30085906306723326,392
2530.0%,2041.0927734375,312.3558523849709,0.30085906306723326,392
2540.0%,2110.396484375,305.00737435643146,0.30085906306723326,392
2550.0%,2017.216796875,337.89517688974325,0.30085906306723326,392
2560.0%,2068.2138671875,317.7441575456739,0.30085906306723326,392
2570.0%,2047.2939453125,342.4815657363327,0.30085906306723326,392
2580.0%,2052.265625,322.27052254598146,0.30085906306723326,392
2590.0%,2018.8447265625,335.2052762590314,0.30085906306723326,392
2600.0%,1996.5986328125,328.6260414778063,0.30085906306723326,392
2610.0%,1989.50390625,311.8228869297393,0.30085906306723326,392
2620.0%,2004.857421875,291.90400829879263,0.30085906306723326,392
2630.0%,1991.830078125,326.4690985840751,0.30085906306723326,392
2640.0%,2026.6015625,297.33196429166605,0.30085906306723326,392
2650.0%,2002.837890625,311.49121950744257,0.30085906306723326,392
2660.0%,2016.876953125,303.9709241345593,0.30085906306723326,392
2670.0%,2039.6845703125,294.56095067371655,0.30085906306723326,392
2680.0%,2010.634765625,310.85893985028935,0.30085906306723326,392
2690.0%,2019.587890625,311.0800259086365,0.30085906306723326,392
2700.0%,1977.5576171875,342.9103890814727,0.30085906306723326,392
2710.0%,2018.177734375,326.2415127577716,0.30085906306723326,392
2720.0%,1989.4755859375,308.65382348818997,0.30085906306723326,392
2730.0%,1962.3232421875,299.77095119356517,0.30085906306723326,392
2740.0%,1957.7265625,285.3274572097153,0.30085906306723326,392
2750.0%,1902.833984375,324.1546010629492,0.30085906306723326,392
2760.0%,1929.9140625,313.79260979684403,0.30085906306723326,392
2770.0%,1980.208984375,279.7041035061496,0.30085906306723326,392
2780.0%,1907.01953125,282.83729250835756,0.30085906306723326,392
2790.0%,1946.2138671875,268.6190455898353,0.30085906306723326,392
2800.0%,1887.0732421875,304.53795178083874,0.30085906306723326,392
2810.0%,1957.6435546875,283.31022135783,0.30085906306723326,392
2820.0%,1942.783203125,310.53303923932384,0.30085906306723326,392
2830.0%,1981.072265625,282.94609017248183,0.30085906306723326,392
2840.0%,1954.3896484375,287.04697438067234,0.30085906306723326,392
2850.0%,1908.5078125,280.268720393735,0.30085906306723326,392
2860.0%,1911.25390625,300.6909959692291,0.30085906306723326,392
2870.0%,1881.2294921875,290.32461003931496,0.30085906306723326,392
2880.0%,1913.2900390625,290.2104038966067,0.30085906306723326,392
2890.0%,1910.8876953125,304.85830584203654,0.30085906306723326,392
2900.0%,1914.603515625,317.65372020903806,0.30085906306723326,392
2910.0%,1958.1728515625,268.98156033260096,0.30085906306723326,392
2920.0%,1899.0224609375,290.1136993312,0.30085906306723326,392
2930.0%,1910.2080078125,274.9585402848843,0.30085906306723326,392
2940.0%,1931.2841796875,283.2934320800255,0.30085906306723326,392
2950.0%,1937.880859375,273.19709949688394,0.30085906306723326,392
2960.0%,1949.19140625,277.35427816805276,0.30085906306723326,392
2970.0%,1945.927734375,276.7234648307292,0.30085906306723326,392
2980.0%,2001.7216796875,265.422281502783,0.30085906306723326,392
2990.0%,1870.7724609375,293.9320775675578,0.30085906306723326,392
3000.0%,1949.298828125,260.76012474907037,0.30085906306723326,392
3010.0%,1962.732421875,271.9859775927385,0.30085906306723326,392
3020.0%,1876.845703125,311.2544205830957,0.30085906306723326,392
3030.0%,1956.1962890625,250.3622587190814,0.30085906306723326,392
3040.0%,1960.40625,280.04891912464217,0.30085906306723326,392
3050.0%,2057.0810546875,266.8836455978765,0.30085906306723326,392
3060.0%,2045.1259765625,284.6306246728746,0.30085906306723326,392
3070.0%,2019.173828125,291.52554827051677,0.30085906306723326,392
3080.0%,1962.96484375,282.78835856306466,0.30085906306723326,392
3090.0%,1970.6318359375,274.8825776008947,0.30085906306723326,392
3100.0%,1919.3779296875,291.80612937736896,0.30085906306723326,392
3110.0%,1991.708984375,275.6571502019872,0.30085906306723326,392
3120.0%,1946.3642578125,299.8804145429716,0.30085906306723326,392
3130.0%,2001.3408203125,293.81886211236764,0.30085906306723326,392
3140.0%,1979.576171875,299.72336208374287,0.30085906306723326,392
3150.0%,2010.1640625,304.4311071826322,0.30085906306723326,392
3160.0%,2022.96484375,308.44005219515395,0.30085906306723326,392
3170.0%,1993.869140625,298.9413584621706,0.30085906306723326,392
3180.0%,1945.0244140625,316.6486346312579,0.30085906306723326,392
3190.0%,2041.1044921875,303.6536757698826,0.30085906306723326,392
3200.0%,2045.1318359375,318.8581259736656,0.30085906306723326,392
3210.0%,1995.435546875,322.2115502605664,0.30085906306723326,392
3220.0%,2047.8466796875,297.55951326887686,0.30085906306723326,392
3230.0%,2021.0244140625,278.22766950943577,0.30085906306723326,392
3240.0%,2018.06640625,274.27441358384124,0.30085906306723326,392
3250.0%,1931.931640625,298.96013578841576,0.30085906306723326,392
3260.0%,1935.5234375,289.4900611752754,0.30085906306723326,392
3270.0%,1995.734375,267.88805313792767,0.30085906306723326,392
3280.0%,1877.07421875,320.5883009425583,0.30085906306723326,392
3290.0%,1945.2763671875,287.9636498767904,0.30085906306723326,392
3300.0%,1912.4833984375,322.1993074742985,0.30085906306723326,392
3310.0%,1982.8984375,308.51192300985065,0.30085906306723326,392
3320.0%,1980.1220703125,309.66144176653796,0.30085906306723326,392
3330.0%,2020.7314453125,293.0441641414215,0.30085906306723326,392
3340.0%,1969.34375,288.1821194417614,0.30085906306723326,392
3350.0%,1945.9697265625,318.3197207661265,0.30085906306723326,392
3360.0%,2048.5908203125,293.57288370806947,0.30085906306723326,392
3370.0%,1955.462890625,331.14778689822185,0.30085906306723326,392
3380.0%,1939.15234375,290.0289904125215,0.30085906306723326,392
